EPOCH=108, Accuracy=56.800%, Adv_Accuracy=95.700%, FGSM_Accuracy=32.520%, PGD_Accuracy=32.5300%
EPOCH=109, Accuracy=59.840%, Adv_Accuracy=97.700%, FGSM_Accuracy=33.420%, PGD_Accuracy=33.9800%
EPOCH=110, Accuracy=60.810%, Adv_Accuracy=98.700%, FGSM_Accuracy=34.610%, PGD_Accuracy=35.1300%
EPOCH=111, Accuracy=59.780%, Adv_Accuracy=97.200%, FGSM_Accuracy=35.750%, PGD_Accuracy=36.2000%
EPOCH=112, Accuracy=56.000%, Adv_Accuracy=95.000%, FGSM_Accuracy=30.160%, PGD_Accuracy=30.7600%
EPOCH=113, Accuracy=58.530%, Adv_Accuracy=96.000%, FGSM_Accuracy=36.300%, PGD_Accuracy=36.1600%
EPOCH=114, Accuracy=58.530%, Adv_Accuracy=97.900%, FGSM_Accuracy=36.200%, PGD_Accuracy=36.3700%
EPOCH=115, Accuracy=55.840%, Adv_Accuracy=95.500%, FGSM_Accuracy=30.030%, PGD_Accuracy=30.0600%
EPOCH=116, Accuracy=57.720%, Adv_Accuracy=96.800%, FGSM_Accuracy=32.630%, PGD_Accuracy=32.3900%
EPOCH=117, Accuracy=59.280%, Adv_Accuracy=98.600%, FGSM_Accuracy=33.600%, PGD_Accuracy=34.0400%
EPOCH=118, Accuracy=60.370%, Adv_Accuracy=98.400%, FGSM_Accuracy=36.550%, PGD_Accuracy=37.1800%
EPOCH=119, Accuracy=55.370%, Adv_Accuracy=96.400%, FGSM_Accuracy=30.410%, PGD_Accuracy=30.4100%
EPOCH=120, Accuracy=55.160%, Adv_Accuracy=94.600%, FGSM_Accuracy=34.590%, PGD_Accuracy=34.7100%
EPOCH=121, Accuracy=57.700%, Adv_Accuracy=97.700%, FGSM_Accuracy=34.990%, PGD_Accuracy=35.8400%
EPOCH=122, Accuracy=59.740%, Adv_Accuracy=98.400%, FGSM_Accuracy=36.640%, PGD_Accuracy=36.9900%
EPOCH=123, Accuracy=54.460%, Adv_Accuracy=90.100%, FGSM_Accuracy=32.390%, PGD_Accuracy=33.2400%
EPOCH=124, Accuracy=58.810%, Adv_Accuracy=97.000%, FGSM_Accuracy=35.960%, PGD_Accuracy=37.0200%
EPOCH=125, Accuracy=59.100%, Adv_Accuracy=98.700%, FGSM_Accuracy=36.210%, PGD_Accuracy=36.8300%
EPOCH=126, Accuracy=58.480%, Adv_Accuracy=97.700%, FGSM_Accuracy=33.070%, PGD_Accuracy=33.6600%
EPOCH=127, Accuracy=59.840%, Adv_Accuracy=98.100%, FGSM_Accuracy=33.940%, PGD_Accuracy=34.8300%
EPOCH=128, Accuracy=58.710%, Adv_Accuracy=97.500%, FGSM_Accuracy=35.500%, PGD_Accuracy=36.5900%
EPOCH=129, Accuracy=58.120%, Adv_Accuracy=97.200%, FGSM_Accuracy=32.450%, PGD_Accuracy=32.9700%
EPOCH=130, Accuracy=58.110%, Adv_Accuracy=97.600%, FGSM_Accuracy=33.250%, PGD_Accuracy=33.0100%
EPOCH=131, Accuracy=60.150%, Adv_Accuracy=98.300%, FGSM_Accuracy=36.960%, PGD_Accuracy=37.5000%
EPOCH=132, Accuracy=57.310%, Adv_Accuracy=96.300%, FGSM_Accuracy=35.070%, PGD_Accuracy=35.6000%
EPOCH=133, Accuracy=59.340%, Adv_Accuracy=98.100%, FGSM_Accuracy=35.510%, PGD_Accuracy=35.7300%
EPOCH=134, Accuracy=56.130%, Adv_Accuracy=95.200%, FGSM_Accuracy=35.100%, PGD_Accuracy=34.2800%
EPOCH=135, Accuracy=56.030%, Adv_Accuracy=95.300%, FGSM_Accuracy=35.060%, PGD_Accuracy=35.0500%
EPOCH=136, Accuracy=56.280%, Adv_Accuracy=96.100%, FGSM_Accuracy=32.540%, PGD_Accuracy=32.6800%
EPOCH=137, Accuracy=60.810%, Adv_Accuracy=98.700%, FGSM_Accuracy=35.720%, PGD_Accuracy=35.5300%
EPOCH=138, Accuracy=56.490%, Adv_Accuracy=95.000%, FGSM_Accuracy=36.630%, PGD_Accuracy=37.0900%
EPOCH=139, Accuracy=58.310%, Adv_Accuracy=98.000%, FGSM_Accuracy=35.140%, PGD_Accuracy=35.7000%
EPOCH=140, Accuracy=54.830%, Adv_Accuracy=92.900%, FGSM_Accuracy=31.570%, PGD_Accuracy=31.9000%
EPOCH=141, Accuracy=57.850%, Adv_Accuracy=97.400%, FGSM_Accuracy=35.820%, PGD_Accuracy=35.6600%
EPOCH=142, Accuracy=58.260%, Adv_Accuracy=96.900%, FGSM_Accuracy=29.590%, PGD_Accuracy=29.8100%
EPOCH=143, Accuracy=57.030%, Adv_Accuracy=96.500%, FGSM_Accuracy=34.160%, PGD_Accuracy=33.9800%
EPOCH=144, Accuracy=60.570%, Adv_Accuracy=97.400%, FGSM_Accuracy=38.970%, PGD_Accuracy=39.0700%
EPOCH=145, Accuracy=58.710%, Adv_Accuracy=98.300%, FGSM_Accuracy=36.260%, PGD_Accuracy=37.2200%
EPOCH=146, Accuracy=59.850%, Adv_Accuracy=96.800%, FGSM_Accuracy=35.650%, PGD_Accuracy=35.2400%
EPOCH=147, Accuracy=58.780%, Adv_Accuracy=97.200%, FGSM_Accuracy=34.800%, PGD_Accuracy=34.8500%
