051  19724 |Loss: 0.173 | Acc: 94.024% 
051  19725 |Loss: 0.174 | Acc: 94.013% 
051  19726 |Loss: 0.174 | Acc: 94.025% 
051  19727 |Loss: 0.173 | Acc: 94.037% 
051  19728 |Loss: 0.173 | Acc: 94.048% 
051  19729 |Loss: 0.173 | Acc: 94.056% 
051  19730 |Loss: 0.173 | Acc: 94.032% 
051  19731 |Loss: 0.173 | Acc: 94.056% 
051  19732 |Loss: 0.173 | Acc: 94.063% 
051  19733 |Loss: 0.173 | Acc: 94.074% 
051  19734 |Loss: 0.172 | Acc: 94.094% 
051  19735 |Loss: 0.172 | Acc: 94.071% 
051  19736 |Loss: 0.172 | Acc: 94.078% 
051  19737 |Loss: 0.172 | Acc: 94.084% 
051  19738 |Loss: 0.172 | Acc: 94.062% 
051  19739 |Loss: 0.172 | Acc: 94.077% 
051  19740 |Loss: 0.172 | Acc: 94.100% 
051  19741 |Loss: 0.172 | Acc: 94.085% 
051  19742 |Loss: 0.172 | Acc: 94.092% 
051  19743 |Loss: 0.171 | Acc: 94.098% 
051  19744 |Loss: 0.172 | Acc: 94.100% 
051  19745 |Loss: 0.171 | Acc: 94.107% 
051  19746 |Loss: 0.171 | Acc: 94.101% 
051  19747 |Loss: 0.171 | Acc: 94.103% 
051  19748 |Loss: 0.171 | Acc: 94.113% 
051  19749 |Loss: 0.171 | Acc: 94.127% 
051  19750 |Loss: 0.171 | Acc: 94.133% 
051  19751 |Loss: 0.170 | Acc: 94.135% 
051  19752 |Loss: 0.170 | Acc: 94.137% 
051  19753 |Loss: 0.170 | Acc: 94.143% 
051  19754 |Loss: 0.170 | Acc: 94.144% 
051  19755 |Loss: 0.170 | Acc: 94.146% 
051  19756 |Loss: 0.170 | Acc: 94.144% 
051  19757 |Loss: 0.170 | Acc: 94.154% 
051  19758 |Loss: 0.170 | Acc: 94.171% 
051  19759 |Loss: 0.170 | Acc: 94.176% 
051  19760 |Loss: 0.170 | Acc: 94.182% 
051  19761 |Loss: 0.169 | Acc: 94.180% 
051  19762 |Loss: 0.169 | Acc: 94.174% 
051  19763 |Loss: 0.169 | Acc: 94.190% 
051  19764 |Loss: 0.169 | Acc: 94.199% 
051  19765 |Loss: 0.169 | Acc: 94.204% 
051  19766 |Loss: 0.169 | Acc: 94.195% 
051  19767 |Loss: 0.168 | Acc: 94.211% 
051  19768 |Loss: 0.169 | Acc: 94.205% 
051  19769 |Loss: 0.169 | Acc: 94.199% 
051  19770 |Loss: 0.168 | Acc: 94.212% 
051  19771 |Loss: 0.168 | Acc: 94.217% 
051  19772 |Loss: 0.169 | Acc: 94.200% 
051  19773 |Loss: 0.168 | Acc: 94.195% 
051  19774 |Loss: 0.168 | Acc: 94.196% 
051  19775 |Loss: 0.168 | Acc: 94.208% 
051  19776 |Loss: 0.168 | Acc: 94.217% 
051  19777 |Loss: 0.168 | Acc: 94.222% 
051  19778 |Loss: 0.168 | Acc: 94.223% 
051  19779 |Loss: 0.168 | Acc: 94.224% 
051  19780 |Loss: 0.167 | Acc: 94.226% 
051  19781 |Loss: 0.168 | Acc: 94.217% 
051  19782 |Loss: 0.167 | Acc: 94.235% 
051  19783 |Loss: 0.167 | Acc: 94.243% 
051  19784 |Loss: 0.167 | Acc: 94.254% 
051  19785 |Loss: 0.167 | Acc: 94.262% 
051  19786 |Loss: 0.166 | Acc: 94.266% 
051  19787 |Loss: 0.166 | Acc: 94.268% 
051  19788 |Loss: 0.166 | Acc: 94.269% 
051  19789 |Loss: 0.166 | Acc: 94.273% 
051  19790 |Loss: 0.166 | Acc: 94.277% 
051  19791 |Loss: 0.166 | Acc: 94.285% 
051  19792 |Loss: 0.166 | Acc: 94.292% 
051  19793 |Loss: 0.166 | Acc: 94.287% 
051  19794 |Loss: 0.166 | Acc: 94.294% 
051  19795 |Loss: 0.165 | Acc: 94.295% 
051  19796 |Loss: 0.165 | Acc: 94.296% 
051  19797 |Loss: 0.165 | Acc: 94.297% 
051  19798 |Loss: 0.165 | Acc: 94.301% 
051  19799 |Loss: 0.165 | Acc: 94.293% 
051  19800 |Loss: 0.166 | Acc: 94.287% 
051  19801 |Loss: 0.166 | Acc: 94.282% 
051  19802 |Loss: 0.166 | Acc: 94.283% 
051  19803 |Loss: 0.165 | Acc: 94.297% 
051  19804 |Loss: 0.166 | Acc: 94.291% 
051  19805 |Loss: 0.166 | Acc: 94.286% 
051  19806 |Loss: 0.166 | Acc: 94.287% 
